cluster,cluster_size,uncertainty,centroid_uncertainty,host_entropy,short_entropy,time_span,true_attack_alerts,true_attack_ratio
7954,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
738,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8042,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8540,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
975,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7479,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7583,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
889,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7672,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7671,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
840,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
48,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
52,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
41,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
42,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9385,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9386,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9388,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9366,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
